                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 14.005,                      0,                      0,                      0,                      0,                      0,                      0,                 24.506,                      0,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                      0,                 13.379,                      0,                      0,                      0,                      0,                      0,                      0,                 24.557,                      0,             0.00010315,             0.00010315,             0.00010315
