                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 14.657,                      0,                      0,                      0,                      0,                      0,                      0,                 37.262,                      0,             0.00010003,             0.00010003,             0.00010003
                      2,                      0,                 13.746,                      0,                      0,                      0,                      0,                      0,                      0,                 37.317,                      0,             0.00017191,             0.00017191,             0.00017191
                      3,                      0,                 13.141,                      0,                      0,                      0,                      0,                      0,                      0,                 37.229,                      0,             0.00019852,             0.00019852,             0.00019852
