                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 14.124,                      0,                      0,                      0,                      0,                      0,                      0,                 37.274,                      0,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                      0,                 13.605,                      0,                      0,                      0,                      0,                      0,                      0,                 37.274,                      0,             0.00015038,             0.00015038,             0.00015038
                      3,                      0,                 13.078,                      0,                      0,                      0,                      0,                      0,                      0,                 37.193,                      0,             0.00017365,             0.00017365,             0.00017365
                      4,                      0,                 12.717,                      0,                      0,                      0,                      0,                      0,                      0,                 37.037,                      0,             0.00015733,             0.00015733,             0.00015733
                      5,                      0,                 12.376,                      0,                      0,                      0,                      0,                      0,                      0,                 36.757,                      0,              0.0001014,              0.0001014,              0.0001014
